u_id,Battery_Cycle_No,charging_length,discharging_length,u_type
1501,368,4880.0,3897.0,2
1504,368,4890.0,3887.0,2
1505,264,1693.0,7084.0,1
1506,272,1795.0,6982.0,1
1508,251,6416.0,2361.0,1
1511,269,1742.0,7035.0,1
1515,367,4904.0,3873.0,2
1523,396,6662.0,2115.0,3
1528,395,6657.0,2120.0,3
1534,394,6621.0,2156.0,3
1536,366,4884.0,3893.0,2
1538,267,1686.0,7091.0,1
1542,269,1764.0,7013.0,1
1547,266,7604.0,1173.0,3
1550,350,4946.0,3831.0,2
1553,367,4906.0,3871.0,2
1567,395,6652.0,2125.0,3
1572,306,5038.0,3739.0,2
1573,267,1714.0,7063.0,1
1581,396,6661.0,2116.0,3
1583,268,1736.0,7041.0,1
1586,267,1710.0,7067.0,1
1590,265,1711.0,7066.0,1
1599,367,4885.0,3892.0,2
1600,395,6677.0,2100.0,3
1604,366,4851.0,3926.0,2
1605,269,1756.0,7021.0,1
1607,369,4992.0,3785.0,2
1608,261,7220.0,1557.0,2
1612,329,4928.0,3849.0,2
1614,368,4904.0,3873.0,2
1615,367,4861.0,3916.0,2
1617,396,6657.0,2120.0,3
1619,268,1743.0,7034.0,1
1623,270,1776.0,7001.0,1
1626,263,7418.0,1359.0,2
1627,267,1720.0,7057.0,1
1631,266,1725.0,7052.0,1
1636,395,6651.0,2126.0,3
1642,364,4828.0,3949.0,2
1648,395,6664.0,2113.0,3
1650,266,7699.0,1078.0,3
1652,273,1830.0,6947.0,1
1662,266,1717.0,7060.0,1
1667,308,6799.0,1978.0,3
1668,266,7565.0,1212.0,3
1674,366,4836.0,3941.0,2
1675,366,4909.0,3868.0,2
1682,267,1723.0,7054.0,1
1684,268,1726.0,7051.0,1
1690,267,1746.0,7031.0,1
1692,396,6662.0,2115.0,3
1695,269,1736.0,7041.0,1
1696,366,4868.0,3909.0,2
1697,369,4951.0,3826.0,2
1698,369,4905.0,3872.0,2
1699,395,6646.0,2131.0,3
1700,366,4850.0,3927.0,2
1701,267,1702.0,7075.0,1
1707,366,4884.0,3893.0,2
1708,394,6657.0,2120.0,3
1709,270,1748.0,7029.0,1
1710,271,1771.0,7006.0,1
1712,395,6683.0,2094.0,3
1715,369,4899.0,3878.0,2
1716,267,1716.0,7061.0,1
1717,395,6662.0,2115.0,3
1718,395,6677.0,2100.0,3
1722,231,4959.0,3818.0,1
1723,395,6673.0,2104.0,3
1729,367,4901.0,3876.0,2
1733,396,6675.0,2102.0,3
1734,321,6751.0,2026.0,3
1735,268,1727.0,7050.0,1
1740,270,1780.0,6997.0,1
1741,396,6688.0,2089.0,3
1743,396,6682.0,2095.0,3
1744,396,6658.0,2119.0,3
1749,368,4900.0,3877.0,2
1750,367,4876.0,3901.0,2
1754,267,7394.0,1383.0,3
1756,395,6655.0,2122.0,3
1762,396,6688.0,2089.0,3
1765,268,1721.0,7056.0,1
1769,248,1973.0,6804.0,1
1770,367,4899.0,3878.0,2
1780,395,6658.0,2119.0,3
1784,366,4848.0,3929.0,2
1785,366,4853.0,3924.0,2
1788,396,6679.0,2098.0,3
1791,396,6692.0,2085.0,3
1793,366,4843.0,3934.0,2
1794,265,1692.0,7085.0,1
1799,271,1779.0,6998.0,1
1803,396,6684.0,2093.0,3
1806,395,6653.0,2124.0,3
1808,396,6691.0,2086.0,3
1810,288,6884.0,1893.0,3
1817,395,6648.0,2129.0,3
1820,395,6670.0,2107.0,3
1824,369,4858.0,3919.0,2
1831,367,4897.0,3880.0,2
1833,366,4870.0,3907.0,2
1843,368,4881.0,3896.0,2
1848,367,4908.0,3869.0,2
1851,271,7147.0,1630.0,3
1853,279,5229.0,3548.0,2
1858,266,1728.0,7049.0,1
1861,366,4849.0,3928.0,2
1862,367,4910.0,3867.0,2
1863,374,6673.0,2104.0,3
1864,270,1755.0,7022.0,1
1866,368,4921.0,3856.0,2
1867,266,1716.0,7061.0,1
1869,368,4879.0,3898.0,2
1871,397,6688.0,2089.0,3
1872,394,6676.0,2101.0,3
1875,396,6646.0,2131.0,3
1876,376,6693.0,2084.0,3
1884,395,6653.0,2124.0,3
1886,396,6697.0,2080.0,3
1891,300,6848.0,1929.0,3
1892,397,6673.0,2104.0,3
1894,271,1791.0,6986.0,1
1905,396,6683.0,2094.0,3
1912,370,4942.0,3835.0,2
1915,368,4867.0,3910.0,2
