Battery_Cycle_No,Location,Battery_Status,Battery_Level,Battery_Type,u_id,DateTime,full_name,Latitude,Langitude,User_Type
1,SFU,2,48,bat3,1501,,user001501,49.275361,-122.91256000000001,2
1,SFU,2,23,bat2,1502,,user001502,49.275361,-122.91256000000001,1
1,SFU,2,34,bat2,1503,,user001503,49.275361,-122.91256000000001,2
1,SFU,2,40,bat3,1504,,user001504,49.275361,-122.91256000000001,2
1,SFU,2,53,bat3,1505,,user001505,49.275361,-122.91256000000001,1
1,CDOT,2,42,bat3,1506,,user001506,41.903506799999995,-87.6671648,1
1,SFU,2,56,bat1,1507,,user001507,49.275361,-122.91256000000001,1
1,CDOT,2,48,bat3,1508,,user001508,41.903506799999995,-87.6671648,1
1,SFU,2,23,bat1,1509,,user001509,49.275361,-122.91256000000001,3
1,SFU,2,45,bat1,1510,,user001510,49.275361,-122.91256000000001,1
1,SFU,2,42,bat3,1511,,user001511,49.275361,-122.91256000000001,1
1,CDOT,2,35,bat1,1512,,user001512,41.903506799999995,-87.6671648,3
1,CDOT,2,48,bat2,1513,,user001513,41.903506799999995,-87.6671648,2
1,SFU,2,30,bat2,1514,,user001514,49.275361,-122.91256000000001,3
1,CDOT,2,32,bat3,1515,,user001515,41.903506799999995,-87.6671648,2
1,CDOT,2,44,bat2,1516,,user001516,41.903506799999995,-87.6671648,2
1,CDOT,2,56,bat2,1517,,user001517,41.903506799999995,-87.6671648,1
1,SFU,2,47,bat2,1518,,user001518,49.275361,-122.91256000000001,2
1,CDOT,2,55,bat1,1519,,user001519,41.903506799999995,-87.6671648,2
1,CDOT,2,34,bat1,1520,,user001520,41.903506799999995,-87.6671648,2
1,CDOT,2,37,bat1,1521,,user001521,41.903506799999995,-87.6671648,1
1,CDOT,2,40,bat1,1522,,user001522,41.903506799999995,-87.6671648,3
1,SFU,2,35,bat3,1523,,user001523,49.275361,-122.91256000000001,3
1,CDOT,2,36,bat2,1524,,user001524,41.903506799999995,-87.6671648,2
